bg,eq_BG,CGM_glucose,IOB,rate,running_temp,unsafe_action_reason
80,104,174.37495876953471,-0.723,0.15,0.35,Null
80,105,175.44420853205472,-0.746,0.25,0.15,Null
80,105,176.49956837195612,-0.762,0.25,0.25,Null
80,106,177.54066999363783,-0.768,0.35,0.25,Null
80,106,178.56765285764413,-0.784,0.35,0.35,Null
80,107,179.58082519392667,-0.79,0.45,0.35,Null
80,105,180.5806256275992,-0.763,0.25,0.45,Null
80,104,181.56735333707724,-0.728,0.15,0.25,Null
80,104,182.54119262160046,-0.742,0.15,0.15,Null
80,105,183.5019947609668,-0.757,0.25,0.15,Null
80,104,184.4498315245981,-0.73,0.15,0.25,Null
80,104,185.3851917886038,-0.738,0.15,0.15,Null
80,105,186.30888848418684,-0.753,0.25,0.15,Null
80,106,187.22173439607312,-0.77,0.35,0.25,Null
80,106,188.12477462872525,-0.786,0.35,0.35,Null
80,107,189.01922100058997,-0.8,0.45,0.35,Null
80,105,189.90614856794474,-0.764,0.25,0.45,Null
80,104,190.7862555321406,-0.729,0.15,0.25,Null
80,105,191.65992802976714,-0.753,0.25,0.15,Null
80,105,192.52704499938125,-0.76,0.25,0.25,Null
80,106,193.38758886795338,-0.775,0.35,0.25,Null
80,107,194.24187638115302,-0.797,0.45,0.35,Null
80,107,195.09022714245984,-0.805,0.45,0.45,Null
80,106,195.93295570308638,-0.769,0.35,0.45,Null
80,107,196.7701081158516,-0.791,0.45,0.35,Null
80,107,197.6012566159892,-0.797,0.45,0.45,Null
80,105,198.42560337364984,-0.761,0.25,0.45,Null
80,106,199.24232972685587,-0.782,0.35,0.25,Null
80,107,200.050351736025,-0.797,0.45,0.35,Null
80,107,200.84839326016814,-0.803,0.45,0.45,Null
80,106,201.63557507447922,-0.768,0.35,0.45,Null
80,106,202.41108332281343,-0.782,0.35,0.35,Null
80,107,203.1739055935118,-0.796,0.45,0.35,Null
80,106,203.92289186827676,-0.769,0.35,0.45,Null
80,104,204.65707358911348,-0.733,0.15,0.35,Null
80,104,205.37564600606729,-0.74,0.15,0.15,Null
80,105,206.07768251909746,-0.755,0.25,0.15,Null
80,105,206.76245178237687,-0.761,0.25,0.25,Null
80,106,207.42993772431313,-0.784,0.35,0.25,Null
80,107,208.08069508506202,-0.799,0.45,0.35,Null
80,108,208.71545188076863,-0.822,0.5,0.45,Null
80,106,209.33506527254283,-0.786,0.35,0.5,Null
80,104,209.94020928274398,-0.742,0.15,0.35,Null
80,105,210.53113066380124,-0.756,0.25,0.15,Null
80,106,211.1076013937889,-0.778,0.35,0.25,Null
80,106,211.66944373349648,-0.786,0.35,0.35,Null
80,104,212.21708327374142,-0.743,0.15,0.35,Null
80,105,212.7511394511797,-0.765,0.25,0.15,Null
80,106,213.27209859890343,-0.779,0.35,0.25,Null
80,107,213.78033796774594,-0.793,0.45,0.35,Null
80,108,214.2767075704588,-0.814,0.5,0.45,Null
80,106,214.76213660498203,-0.778,0.35,0.5,Null
80,104,215.2373213046539,-0.736,0.15,0.35,Null
80,105,215.70248271603964,-0.752,0.25,0.15,Null
80,105,216.15732574726962,-0.758,0.25,0.25,Null
80,106,216.60158366175227,-0.781,0.35,0.25,Null
80,107,217.03558871107674,-0.796,0.45,0.35,Null
80,107,217.4598560843809,-0.81,0.45,0.45,Null
80,106,217.87503832934686,-0.781,0.35,0.45,Null
80,106,218.28160076893025,-0.787,0.35,0.35,Null
80,107,218.67956929143944,-0.8,0.45,0.35,Null
80,106,219.06862688649784,-0.771,0.35,0.45,Null
80,104,219.4484834550935,-0.73,0.15,0.35,Null
80,105,219.8188783117392,-0.746,0.25,0.15,Null
80,105,220.17929338785757,-0.759,0.25,0.25,Null
80,106,220.52931084663732,-0.781,0.35,0.25,Null
80,106,220.8691819937844,-0.787,0.35,0.35,Null
80,107,221.19939229357968,-0.809,0.45,0.35,Null
80,106,221.5206055887978,-0.773,0.35,0.45,Null
80,104,221.83332598231627,-0.73,0.15,0.35,Null
80,104,222.13792624725636,-0.738,0.15,0.15,Null
80,105,222.43438081817212,-0.761,0.25,0.15,Null
80,106,222.7226475091005,-0.767,0.35,0.25,Null
80,107,223.00325960201184,-0.791,0.45,0.35,Null
80,107,223.2771940001105,-0.805,0.45,0.45,Null
80,106,223.54546611484713,-0.776,0.35,0.45,Null
80,107,223.80881099476673,-0.79,0.45,0.35,Null
80,107,224.06743812228325,-0.798,0.45,0.45,Null
80,105,224.32114283900114,-0.762,0.25,0.45,Null
80,106,224.56969579120937,-0.777,0.35,0.25,Null
80,107,224.81255926568141,-0.792,0.45,0.35,Null
80,108,225.04896606114983,-0.813,0.5,0.45,Null
80,106,225.27857674903723,-0.769,0.35,0.5,Null
80,104,225.50109991182921,-0.732,0.15,0.35,Null
80,105,225.71599412841093,-0.746,0.25,0.15,Null
80,106,225.92238782309613,-0.768,0.35,0.25,Null
80,106,226.11961633206076,-0.782,0.35,0.35,Null
80,107,226.30778734205478,-0.791,0.45,0.35,Null
